20	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_max_depth	param_learning_rate	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	24.714556455612183	0.36113933780093865	0.04918231964111328	0.006569767054011655	50	10	0.1	{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}	-1.548863587821283	-1.1694724532572138	-1.0683688070277524	-1.2189347428906923	-1.2875431290274277	-1.2586365440048737	0.16173781712700347	6	-0.44897426721033246	-0.4877421936832737	-0.49464596952112594	-0.4983809229783726	-0.5035444316474796	-0.4866575570081169	0.019532666719815815
1	44.119173002243045	1.5002258556306531	0.05610690116882324	0.011210324721658156	100	10	0.1	{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}	-1.5284092499277295	-1.1464873644106242	-1.0456249632175432	-1.1967739093303909	-1.268465016322688	-1.2371521006417951	0.16269257069576612	5	-0.2383906426006558	-0.25847057929907513	-0.24941336121077304	-0.23680923228275264	-0.26671175804057506	-0.24995911468676635	0.011490368920879464
2	72.25512061119079	6.100724943610186	0.08747048377990722	0.03029612763424349	150	10	0.1	{'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1}	-1.5249739711048123	-1.1412923015658232	-1.0405592525006113	-1.193306950254802	-1.2633091561721208	-1.232688326319634	0.1632092157302747	4	-0.14260555095602767	-0.1583948600484052	-0.15226518690620378	-0.14451765775459988	-0.15498431705898333	-0.15055351454484395	0.006060531740691603
3	90.69243321418762	4.325581564231573	0.07041864395141602	0.009210017431687097	200	10	0.1	{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1}	-1.5238072293071157	-1.139565080504032	-1.0382287010660802	-1.1917429204119343	-1.2615860805066061	-1.230986002359154	0.16354437768953425	3	-0.09057649447238168	-0.09916735684744253	-0.09859851189186818	-0.08924682372900247	-0.0979649529090599	-0.09511082796995096	0.004282805642244513
4	112.81783976554871	5.3044438974194	0.08165769577026367	0.011065165274039838	250	10	0.1	{'n_estimators': 250, 'max_depth': 10, 'learning_rate': 0.1}	-1.5234135783891085	-1.138535282350377	-1.036482926746709	-1.1909067857761177	-1.260356865793538	-1.2299390878111702	0.16392436081683154	2	-0.06097248682572681	-0.06326340456410523	-0.06665082318419699	-0.05891839185909708	-0.06273999941521834	-0.06250902116966889	0.0025702344569831885
5	135.10471267700194	9.544335644770904	0.09506235122680665	0.01654617089038554	300	10	0.1	{'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.1}	-1.5231137090129265	-1.1385038716212432	-1.0357775623645766	-1.1906176403259876	-1.2600091858968614	-1.229604393844319	0.16398797649291	1	-0.03951898837762676	-0.043904373277323716	-0.04470526491403144	-0.039492300507771395	-0.04158315961118214	-0.04184081733758709	0.0021650003029022617
