	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_max_depth	param_learning_rate	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	164.161163854599	7.050529761661524	0.0976043701171875	0.013135957443976503	350	10	0.1	{'n_estimators': 350, 'max_depth': 10, 'learning_rate': 0.1}	-1.5233267553800431	-1.1383348940519489	-1.0352976849390096	-1.1905226827909854	-1.2597619078116942	-1.2294487849947362	0.1641918262892907	3	-0.026697366627175003	-0.029290144138523364	-0.03025169970571319	-0.026881439893543774	-0.028577799763782986	-0.028339690025747665	0.0013740130914728056
1	181.2812563419342	10.930645035355246	0.11736278533935547	0.019698292801272884	400	10	0.1	{'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.1}	-1.523264327036868	-1.138169786459907	-1.0352256511851836	-1.1904984834262562	-1.25964842106486	-1.2293613338346148	0.16420180254695918	2	-0.018455977566343786	-0.020005567090865574	-0.020150606895066505	-0.01839955470586291	-0.01914330616286751	-0.019231002484201256	0.0007409834382169542
2	193.18512649536132	10.216415210482777	0.09939737319946289	0.016257012131738732	450	10	0.1	{'n_estimators': 450, 'max_depth': 10, 'learning_rate': 0.1}	-1.523244737845127	-1.1380990201629009	-1.035196263760856	-1.1904502670009296	-1.2595418749229879	-1.2293064327385603	0.1642079538866121	1	-0.012746684179664219	-0.013702154153254887	-0.013790287262850705	-0.012862698317676106	-0.013547471174753934	-0.013329859017639969	0.00043732937224772123
